
sgd_with_sync-noiTrue-resnet50-nw4-SGD-LG20-lr0.1-bs128-nstd0.001-SyncP100	p8rbp5mb
sgd_with_sync-noiTrue-resnet50-nw4-SGD-LG20-lr0.1-bs128-nstd0.01-SyncP100	z8rij6nd
sgd_with_sync-noiTrue-resnet50-nw4-SGD-LG20-lr0.1-bs128-nstd0.1-SyncP100	nif0tprr
sgd_with_sync-noiTrue-resnet50-nw4-SGD-LG20-lr0.1-bs128-nstd1.0-SyncP100	z59drayy
detect base
sgd_with_sync-noiTrue-resnet50-nw4-SGD-LG20-lr0.1-bs128-nstd0.0001-SyncP100	lhadl6zg
sgd_with_sync-noiTrue-resnet50-nw4-SGD-LG20-lr0.1-bs128-nstd0.001-SyncP100	v03egkwg
sgd_with_sync-noiTrue-resnet50-nw4-SGD-LG20-lr0.1-bs128-nstd0.01-SyncP100	gus6lq0p
sgd_with_sync-noiTrue-resnet50-nw4-SGD-LG20-lr0.1-bs128-nstd0.1-SyncP100	n7wssgrs
sgd_with_sync-noiTrue-resnet50-nw4-SGD-LG20-lr0.1-bs128-nstd1.0-SyncP100	74g7oapt




Resnet-50 32-worker
sgd-noiFalse-resnet50-nw32-SGD-LG20-lr0.1-bs128-	1ijmvjh1
sgd-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.0001	kjr0zuig
sgd-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.001	945hp3wx
sgd-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.01	9v7ch8vu
sgd-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.1	qtaycdbw
sgd-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd1.0	6pal1kpl
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.0001-SyncP5	alvxajcd
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.001-SyncP5	3zn8vl8y
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.01-SyncP5	hromcduy
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.1-SyncP5	7fb6n0w7
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd1.0-SyncP5	okha0hbv
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.0001-SyncP10	t4k8edy2
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.001-SyncP10	0j0fknwt
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.01-SyncP10	ud20b6zx
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.1-SyncP10	ugxlaz6z
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd1.0-SyncP10	o7tlqijx
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.0001-SyncP50	eerecwm0
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.001-SyncP50	e5r3b4k7
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.01-SyncP50	l5m9rqyc
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.1-SyncP50	ye3a6y1j
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd1.0-SyncP50	uqn4k4e7
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.0001-SyncP100	tv7ytwda
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.001-SyncP100	h945heh6
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.01-SyncP100	ay6yod4r
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.1-SyncP100	3figsj55
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd1.0-SyncP100	8kbv9m9t
detect base	
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.0001-SyncP100	pikfppnq
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.001-SyncP100	car3dlwu
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.01-SyncP100	pcjhol47
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd0.1-SyncP100	cvnjlh3t
sgd_with_sync-noiTrue-resnet50-nw32-SGD-LG20-lr0.1-bs128-nstd1.0-SyncP100	hj1doccl


